cancer_type,n_studies,n_total,auc_pooled,ci_lower,ci_upper,i2_pct,tau2,Q,Q_df
CRC,5,824,0.785,0.75,0.819,30.6,0.0005,5.76,4
GC,3,433,0.834,0.781,0.887,56.6,0.0012,4.61,2
PDAC,3,277,0.853,0.785,0.921,60.8,0.0021,5.1,2
HCC,3,542,0.809,0.747,0.871,70.3,0.0021,6.73,2
LC,4,511,0.78,0.738,0.822,25.0,0.0005,4.0,3
