cancer_type,n_studies,n_total,auc_pooled,ci_lower,ci_upper,i2_pct,tau2,Q,Q_df
CRC,5,824,0.785,0.75,0.819,30.6,0.0005,5.76,4
GC,2,306,0.852,0.793,0.911,54.2,0.001,2.18,1
PDAC,3,277,0.853,0.785,0.921,60.8,0.0021,5.1,2
HCC,2,422,0.833,0.775,0.892,61.8,0.0011,2.62,1
LC,2,277,0.791,0.723,0.858,47.4,0.0012,1.9,1
